longitude,latitude,Agglomerative,KMeans
-1.80638,51.5949,1,1
-1.53085,53.7971,1,1
-2.17967,53.8578,1,1
-1.08601,50.8492,1,2
-2.10596,52.9586,1,1
0.08224,51.5903,1,2
-0.121526,51.3856,1,2
-0.184768,51.5378,1,2
-2.20429,51.8611,1,1
-4.32008,55.8707,1,3
-1.44224,53.4377,1,1
0.328509,51.4456,1,2
-0.25066,51.4929,1,2
-0.829089,51.3387,1,2
-2.98286,53.394,1,1
-0.153871,51.4568,1,2
-0.095423,51.5709,1,2
-0.164793,51.4608,1,2
-2.11638,52.4581,1,1
-0.125849,51.5083,1,2
0.169708,52.1962,1,2
-1.22306,54.6982,1,1
-1.19105,53.0451,1,1
-1.84971,53.6575,1,1
-0.239705,51.5753,1,2
-0.073418,51.5146,1,2
-0.420767,51.8967,1,2
-1.36898,52.5243,1,1
1.18344,51.0908,1,2
-1.69857,53.6328,1,1
-2.51521,53.2603,1,1
-0.379494,51.4793,1,2
-0.73909,51.3171,1,2
-0.393396,53.7447,1,1
-1.48731,53.5825,1,1
-3.54941,50.4769,1,1
-3.19066,55.953,1,3
-0.145646,51.5247,1,2
-1.85844,52.4887,1,1
-0.443535,51.5229,1,2
-3.13791,51.7294,1,1
-2.23805,53.4806,1,1
-2.51516,51.4632,1,1
-0.529234,50.8147,1,2
-0.169087,51.4003,1,2
-1.07773,50.779,1,2
-0.023714,51.5274,1,2
-1.52158,53.798,1,1
-3.97621,55.8509,1,3
-2.14669,52.4546,1,1
-1.18804,52.9751,1,1
-2.75769,53.3658,1,1
0.190088,51.5183,1,2
-0.105664,51.5641,1,2
-0.401445,51.8801,1,2
0.003588,51.5418,1,2
-1.83011,52.5028,1,1
-1.38034,54.9152,1,1
-0.010272,51.5315,1,2
0.026174,51.4723,1,2
-0.425895,54.2771,1,1
-1.8621,52.4487,1,1
-1.09828,52.6648,1,1
-0.735171,51.2666,1,2
-2.17426,53.0265,1,1
-2.31768,53.5101,1,1
-0.653926,53.5878,1,1
-1.57967,54.9939,1,1
-1.71529,53.7996,1,1
-0.138572,51.5144,1,2
0.494674,51.7342,1,2
-1.40399,50.9107,1,2
-3.11741,55.934,1,3
-1.57744,53.7684,1,1
-0.434818,51.3355,1,2
-2.50407,53.4985,1,1
-0.015481,51.6006,1,2
-2.08279,53.4541,1,1
-0.421557,51.899,1,2
-1.57639,53.8122,1,1
-0.363146,51.413,1,2
0.131364,52.2022,1,2
-2.5119,53.2595,1,1
-2.48262,53.5212,1,1
-0.900505,52.2423,1,2
-2.31735,53.6475,1,1
-2.21495,52.1786,1,1
-0.055432,51.5443,1,2
-3.9126,55.7821,1,3
-2.44319,53.095,1,1
-2.43954,53.1029,1,1
-1.57876,52.335,1,1
-2.3892,51.3949,1,1
-1.52309,53.8114,1,1
-0.113347,51.5214,1,2
-0.066376,51.5311,1,2
0.206931,51.5536,1,2
-1.9917,52.5929,1,1
-0.152047,51.5055,1,2
-3.97728,55.7399,1,3
-2.24011,52.3695,1,1
-0.545014,53.2303,1,1
-0.145284,51.5088,1,2
-1.87276,50.7177,1,2
-1.88661,50.7932,1,2
-0.023844,51.4744,1,2
-0.265998,52.5462,1,2
-2.75017,52.7125,1,1
-2.59688,51.4486,1,1
-1.64951,53.8045,1,1
-2.71914,52.0651,1,1
-0.593577,51.3126,1,2
-0.121861,51.5072,1,2
-1.41954,51.5899,1,2
-0.022842,51.5276,1,2
-3.8507,51.7238,1,1
-2.99603,53.8024,1,1
-1.42264,50.9321,1,2
-0.309924,51.5381,1,2
-1.53147,52.7673,1,1
-1.21266,54.5215,1,1
-0.290702,51.4776,1,2
-0.109655,51.5026,1,2
-0.238616,51.5064,1,2
-4.13624,50.4003,1,1
-0.087657,51.5978,1,2
-3.18257,55.9397,1,3
-1.83254,54.8511,1,1
-0.191814,51.4728,1,2
-0.016615,51.6044,1,2
-2.00411,55.7713,1,3
-0.068475,53.5745,1,2
-2.25663,53.3885,1,1
-3.34716,51.6031,1,1
-1.31743,53.3631,1,1
-2.14328,52.9896,1,1
0.537753,50.8537,1,2
-3.01058,53.4596,1,1
-1.95726,52.4866,1,1
-1.48839,52.9018,1,1
-0.710658,51.2513,1,2
-0.106264,51.3897,1,2
-1.56747,53.7796,1,1
-0.033208,51.5881,1,2
-4.28491,55.876,1,3
0.045151,51.4362,1,2
-1.63847,54.9732,1,1
0.098217,51.4639,1,2
-1.54011,53.7967,1,1
-0.894531,52.1998,1,2
-1.26821,53.1223,1,1
-0.872173,52.2391,1,2
0.009764,51.4331,1,2
-2.29013,53.5165,1,1
-2.17098,53.0255,1,1
-3.81832,51.6459,1,1
-1.53314,54.0008,1,1
-2.06188,51.8952,1,1
0.521815,51.3806,1,2
1.28424,52.6032,1,2
-1.53433,52.4149,1,1
-0.12295,51.4596,1,2
-1.69731,53.6821,1,1
-2.40959,53.783,1,1
-0.023427,51.4541,1,2
-1.63148,53.696,1,1
-3.22855,51.4939,1,1
-2.25213,53.5168,1,1
-0.205966,51.3837,1,2
-2.91101,53.4307,1,1
-1.22151,51.7321,1,2
-2.51545,53.4293,1,1
-1.46523,53.3687,1,1
-4.20571,55.8157,1,3
-0.056284,51.5209,1,2
-2.19951,53.0696,1,1
-1.93723,52.4865,1,1
-0.244054,51.3272,1,2
-2.71501,52.0626,1,1
-3.96548,55.8094,1,3
